Array Length,Merge Sort,Quicksort,Counting Sort,Radix Sort: $b=n$,QR Sort: $d=\sqrt{m}$
750000, 141197270100, 95082742400, 160500031200, 69750062200, 41306618200
760000, 143220244100, 95552249000, 160640028800, 70680059800, 41856615800
770000, 145240108200, 96337441900, 160780031000, 71610062000, 42406618000
780000, 147262492700, 98936784600, 160920028600, 72540059600, 42956615600
790000, 149286070100, 100018905900, 161060031600, 73470062600, 43506618600
800000, 151315778200, 102299707200, 161200029800, 74400060800, 44056616800
810000, 153344426900, 101968841100, 161340028600, 75330059600, 44606615600
820000, 155373411600, 104872917800, 161480029400, 76260060400, 45156616400
830000, 157402168400, 104475498900, 161620028800, 77190059800, 45706615800
840000, 159429175100, 107550379400, 161760031800, 78120062800, 46256618800
850000, 161460321400, 108482746500, 161900027400, 79050058400, 46806614400
860000, 163488393800, 109442205100, 162040026600, 79980057600, 47356613600
870000, 165516464200, 108914696100, 162180030200, 80910061200, 47906617200
880000, 167548438200, 113568087400, 162320030000, 81840061000, 48456617000
890000, 169576414900, 113368624900, 162460031400, 82770062400, 49006618400
900000, 171606724000, 115353585300, 162600026200, 83700057200, 49556613200
910000, 173635061800, 116377944100, 162740030000, 84630061000, 50106617000
920000, 175664936600, 116967296600, 162880031000, 85560062000, 50656618000
930000, 177697151500, 119844467000, 163020031600, 86490062600, 51206618600
940000, 179729639800, 122833469300, 163160030000, 87420061000, 51756617000
950000, 181760436500, 120731320700, 163300028400, 88350059400, 52306615400
960000, 183792812500, 122050238300, 163440027400, 89280058400, 52856614400
970000, 185823869300, 125060693200, 163580027000, 90210058000, 53406614000
980000, 187854431700, 126935265800, 163720030600, 91140061600, 53956617600
990000, 189887267300, 129627123600, 163860028400, 92070059400, 54506615400
1000000, 191919489500, 128643626000, 164000027600, 93000058600, 55056614600
