Array Length,Merge Sort,Quicksort,Counting Sort,Radix Sort: $b=n$,QR Sort: $d=\sqrt{m}$
680000, 127051785900, 87202546500, 9670025400, 34000038400, 37401833400
690000, 129073636800, 89972288200, 9810024000, 34500037000, 37951832000
700000, 131093119000, 90566690300, 9950029400, 35000042400, 38501837400
710000, 133112788900, 93955848500, 10090024600, 35500037600, 39051832600
720000, 135134425100, 93254462400, 10230027800, 36000040800, 39601835800
730000, 137155155900, 96586251600, 10370028200, 36500041200, 40151836200
740000, 139176529900, 97216689800, 10510029200, 37000042200, 40701837200
750000, 141197241700, 99673467300, 10650027000, 37500040000, 41251835000
760000, 143220225400, 100159908700, 10790026400, 38000039400, 41801834400
770000, 145240086900, 100553846400, 10930027000, 38500040000, 42351835000
780000, 147262502300, 103238266300, 11070024400, 39000037400, 42901832400
790000, 149286059000, 105570622000, 11210028800, 39500041800, 43451836800
800000, 151315762900, 108672355500, 11350025800, 40000038800, 44001833800
810000, 153344407500, 108048600500, 11490025200, 40500038200, 44551833200
820000, 155373423500, 110730992000, 11630025000, 41000038000, 45101833000
830000, 157402149000, 110064157300, 11770025600, 41500038600, 45651833600
840000, 159429162400, 112752418300, 11910026400, 42000039400, 46201834400
850000, 161460302200, 115636730400, 12050022000, 42500035000, 46751830000
860000, 163488373000, 115913107800, 12190022800, 43000035800, 47301830800
870000, 165516453600, 116474233200, 12330025800, 43500038800, 47851833800
880000, 167548434900, 119820822700, 12470025000, 44000038000, 48401833000
890000, 169576409100, 121900925000, 12610027000, 44500040000, 48951835000
900000, 171606704000, 122897380800, 12750022600, 45000035600, 49501830600
910000, 173635058700, 123009176200, 12890027200, 45500040200, 50051835200
920000, 175664926400, 126391965000, 13030026800, 46000039800, 50601834800
930000, 177697140600, 128483987200, 13170027400, 46500040400, 51151835400
940000, 179729621600, 129910450600, 13310025800, 47000038800, 51701833800
950000, 181760401100, 129531527800, 13450024200, 47500037200, 52251832200
960000, 183792789400, 131345891000, 13590023000, 48000036000, 52801831000
970000, 185823865300, 134048797800, 13730021600, 48500034600, 53351829600
980000, 187854433300, 134724026400, 13870025800, 49000038800, 53901833800
990000, 189887253600, 138487931500, 14010024600, 49500037600, 54451832600
1000000, 191919461400, 139420020900, 14150025200, 50000038200, 55001833200
