Array Length, Radix Sort, QR Sort
357000,7.033333,5.166667
358000,7.3,5.166667
359000,9.766667,5.366667
360000,6.833333,4.866667
361000,7.266667,5.166667
362000,7.133333,5.233333
363000,7.433333,5.333333
364000,7.233333,5.466667
365000,7,5.033333
366000,7.766667,5.8
367000,7.3,5.466667
368000,7.266667,5.533333
369000,7.3,5.433333
370000,7,4.833333
371000,7.566667,5.266667
372000,7.666667,5.733333
373000,7.4,5.5
374000,7.6,5.833333
375000,7.866667,5.433333
376000,7.766667,5.4
377000,7.666667,5.733333
378000,7.633333,5.733333
379000,7.633333,5.533333
380000,7.3,5.2
381000,7.766667,5.7
382000,7.866667,5.733333
383000,7.733333,5.6
384000,7.8,5.6
385000,7.633333,5.433333
386000,7.8,5.666667
387000,7.8,5.733333
388000,7.933333,5.666667
389000,7.733333,5.833333
390000,7.633333,5.233333
391000,8.066667,5.866667
392000,7.8,5.766667
393000,7.866667,5.7
394000,7.833333,5.7
395000,7.833333,5.5
396000,8.133333,5.833333
397000,8.233333,5.966667
398000,8.266667,6.166667
399000,8.166667,6.1
400000,7.766667,5.533333
401000,8.3,5.9
402000,8.166667,5.866667
403000,8.066667,6
404000,11.133333,6
405000,8.066667,5.8
406000,8.3,6
407000,8.266667,6
408000,8.4,6.2
409000,8.266667,6.1
410000,8.2,5.6
411000,8.366667,6.166667
412000,8.4,6
413000,8.5,6.2
414000,8.566667,6.133333
415000,8.133333,5.7
416000,8.333333,6.133333
417000,8.4,6.2
418000,8.566667,6.066667
419000,8.333333,6.166667
420000,8.2,5.8
421000,8.533333,6.166667
422000,8.666667,6.2
423000,8.7,6.1
424000,8.566667,6.366667
425000,8.333333,5.966667
426000,8.533333,6.366667
427000,8.7,6.266667
428000,8.566667,6.2
429000,8.9,6.4
430000,8.566667,5.833333
431000,8.9,6.5
432000,8.933333,6.7
433000,8.866667,6.466667
434000,8.9,6.433333
435000,8.833333,6.166667
436000,8.866667,6.466667
437000,9.033333,6.4
438000,8.966667,6.366667
439000,8.866667,6.5
440000,8.566667,6.1
441000,8.9,6.7
442000,8.966667,6.566667
443000,9.166667,6.666667
444000,9.066667,6.633333
445000,9.3,6.8
446000,9.133333,6.5
447000,9.266667,6.566667
448000,9.233333,6.733333
449000,9.033333,6.7
450000,8.933333,6.333333
451000,9.2,6.733333
452000,9.266667,6.7
453000,9.1,6.766667
454000,9.4,6.933333
455000,9.233333,6.466667
456000,9.3,6.866667
457000,9.433333,6.866667
458000,9.333333,7
459000,9.5,6.6
460000,8.766667,6.5
461000,9.1,7
462000,9.433333,7.133333
463000,9.6,7.033333
464000,9.5,7.033333
465000,9.633333,6.7
466000,9.566667,6.933333
467000,9.766667,7.066667
468000,9.7,7.033333
469000,9.6,7.033333
470000,9.333333,6.466667
471000,9.6,6.9
472000,9.633333,7.1
473000,9.766667,7.066667
474000,9.8,7
475000,9.6,6.966667
476000,9.733333,7.033333
477000,9.733333,7.2
478000,9.8,7.1
479000,9.933333,7.266667
480000,10.766667,8.633333
481000,9.8,7.333333
482000,10.166667,7.333333
483000,9.766667,7.266667
484000,10.066667,7.2
485000,9.966667,7.1
486000,10.066667,7.233333
487000,10.066667,7.4
488000,10.066667,7.233333
489000,10.266667,7.233333
490000,9.6,6.9
491000,10.3,7.366667
492000,10.133333,7.433333
493000,10.233333,7.366667
494000,10.333333,7.566667
495000,10,7.1
496000,10.1,7.433333
497000,10.266667,7.533333
498000,10.166667,7.333333
499000,10.4,7.6
500000,9.733333,7.166667
501000,10.466667,7.633333
502000,10.333333,7.866667
503000,10.4,7.466667
504000,10.533333,7.7
505000,10.2,7.333333
506000,10.4,7.5
507000,10.733333,7.566667
508000,10.366667,7.5
509000,11.166667,8.133333
510000,10,7.2
511000,10.433333,7.633333
512000,10.466667,7.766667
513000,10.833333,8.133333
514000,10.433333,7.866667
515000,10.466667,7.633333
516000,10.766667,7.733333
517000,10.433333,7.566667
518000,10.533333,7.766667
519000,10.766667,7.666667
520000,10.133333,7.4
521000,10.833333,7.966667
522000,10.766667,7.766667
523000,10.7,7.933333
524000,10.733333,8.033333
525000,10.533333,7.5
526000,10.733333,8
527000,10.533333,7.9
528000,10.7,8
529000,10.933333,7.966667
530000,10.533333,7.566667
531000,10.9,8
532000,10.866667,8.066667
533000,10.933333,8.2
534000,11.2,7.966667
535000,11.166667,8.133333
536000,11.066667,8
537000,11.066667,8.1
538000,11.033333,8.1
539000,11.1,8.066667
540000,10.7,7.666667
541000,10.9,8.333333
542000,11.1,8.1
543000,10.866667,7.8
544000,11.066667,8.033333
545000,10.966667,8.533333
546000,11.133333,8.1
547000,11.233333,8.033333
548000,11.133333,8.433333
549000,11,8.233333
550000,10.733333,7.7
551000,11.1,8.266667
552000,11,8.266667
553000,11.133333,8.166667
554000,11.133333,8.3
555000,11.166667,8.266667
556000,11.1,8.4
557000,11.2,8.366667
558000,11.266667,8.366667
559000,11.2,8.366667
560000,10.933333,7.933333
561000,11.5,8.466667
562000,11.433333,8.366667
563000,11.333333,8.4
564000,11.5,8.266667
565000,11.2,8.166667
566000,11.466667,8.433333
567000,11.433333,8.6
568000,11.333333,8.5
569000,11.366667,8.466667
570000,11.066667,8.066667
571000,11.6,8.333333
572000,11.6,8.733333
573000,11.433333,8.6
